file	rows_nonempty	unique_full_entry_names	unique_base_names
MT_notSAM_uniprot_C_MT.tsv	758	758	11
MT_notSAM_uniprot_S_MT.tsv	352	352	16
MT_notSAM_uniprot_UNKNOWN.tsv	63	63	9
MT_notSAM_uniprot_N_MT.tsv	58	58	34
MT_notSAM_uniprot_MIXED.tsv	53	53	7
MT_notSAM_uniprot_NO_EC.tsv	43	43	19
MT_notSAM_uniprot_OTHER.tsv	31	31	14
MT_notSAM_uniprot_O_MT.tsv	4	4	4
MT_notSAM_uniprot_MULTIPLE.tsv	1	1	1
