EC_key	rows	file
2.1.1.386	13	MT_uniprot_EC_2.1.1.386.tsv
2.1.1.10	12	MT_uniprot_EC_2.1.1.10.tsv
2.1.1.225	12	MT_uniprot_EC_2.1.1.225.tsv
2.1.1.224	11	MT_uniprot_EC_2.1.1.224.tsv
2.1.1.346	11	MT_uniprot_EC_2.1.1.346.tsv
2.1.1.357	11	MT_uniprot_EC_2.1.1.357.tsv
2.1.1.71	11	MT_uniprot_EC_2.1.1.71.tsv
2.1.1.8	11	MT_uniprot_EC_2.1.1.8.tsv
2.1.1.214	10	MT_uniprot_EC_2.1.1.214.tsv
2.1.1.34	10	MT_uniprot_EC_2.1.1.34.tsv
2.1.1.114	9	MT_uniprot_EC_2.1.1.114.tsv
2.1.1.22	9	MT_uniprot_EC_2.1.1.22.tsv
2.1.1.229	9	MT_uniprot_EC_2.1.1.229.tsv
2.1.1.261	9	MT_uniprot_EC_2.1.1.261.tsv
2.1.1.137	8	MT_uniprot_EC_2.1.1.137.tsv
2.1.1.2	8	MT_uniprot_EC_2.1.1.2.tsv
2.1.1.321	8	MT_uniprot_EC_2.1.1.321.tsv
2.1.1.329	8	MT_uniprot_EC_2.1.1.329.tsv
2.1.1.103	7	MT_uniprot_EC_2.1.1.103.tsv
2.1.1.179	7	MT_uniprot_EC_2.1.1.179.tsv
2.1.1.203	7	MT_uniprot_EC_2.1.1.203.tsv
2.1.1.204	7	MT_uniprot_EC_2.1.1.204.tsv
2.1.1.218	7	MT_uniprot_EC_2.1.1.218.tsv
2.1.1.256	7	MT_uniprot_EC_2.1.1.256.tsv
2.1.1.273	7	MT_uniprot_EC_2.1.1.273.tsv
2.1.1.53	7	MT_uniprot_EC_2.1.1.53.tsv
2.1.1.117	6	MT_uniprot_EC_2.1.1.117.tsv
2.1.1.133	6	MT_uniprot_EC_2.1.1.133.tsv
2.1.1.160	6	MT_uniprot_EC_2.1.1.160.tsv
2.1.1.171	6	MT_uniprot_EC_2.1.1.171.tsv
2.1.1.205	6	MT_uniprot_EC_2.1.1.205.tsv
2.1.1.28	6	MT_uniprot_EC_2.1.1.28.tsv
2.1.1.317	6	MT_uniprot_EC_2.1.1.317.tsv
2.1.1.334	6	MT_uniprot_EC_2.1.1.334.tsv
2.1.1.336	6	MT_uniprot_EC_2.1.1.336.tsv
2.1.1.128	5	MT_uniprot_EC_2.1.1.128.tsv
2.1.1.130	5	MT_uniprot_EC_2.1.1.130.tsv
2.1.1.20	5	MT_uniprot_EC_2.1.1.20.tsv
2.1.1.232	5	MT_uniprot_EC_2.1.1.232.tsv
2.1.1.274	5	MT_uniprot_EC_2.1.1.274.tsv
2.1.1.295	5	MT_uniprot_EC_2.1.1.295.tsv
2.1.1.296	5	MT_uniprot_EC_2.1.1.296.tsv
2.1.1.374	5	MT_uniprot_EC_2.1.1.374.tsv
2.1.1.42	5	MT_uniprot_EC_2.1.1.42.tsv
2.1.1.44	5	MT_uniprot_EC_2.1.1.44.tsv
2.1.1.1	4	MT_uniprot_EC_2.1.1.1.tsv
2.1.1.12	4	MT_uniprot_EC_2.1.1.12.tsv
2.1.1.131	4	MT_uniprot_EC_2.1.1.131.tsv
2.1.1.132	4	MT_uniprot_EC_2.1.1.132.tsv
2.1.1.146	4	MT_uniprot_EC_2.1.1.146.tsv
2.1.1.150	4	MT_uniprot_EC_2.1.1.150.tsv
2.1.1.156	4	MT_uniprot_EC_2.1.1.156.tsv
2.1.1.159	4	MT_uniprot_EC_2.1.1.159.tsv
2.1.1.180	4	MT_uniprot_EC_2.1.1.180.tsv
2.1.1.213	4	MT_uniprot_EC_2.1.1.213.tsv
2.1.1.255	4	MT_uniprot_EC_2.1.1.255.tsv
2.1.1.271	4	MT_uniprot_EC_2.1.1.271.tsv
2.1.1.289	4	MT_uniprot_EC_2.1.1.289.tsv
2.1.1.299	4	MT_uniprot_EC_2.1.1.299.tsv
2.1.1.369	4	MT_uniprot_EC_2.1.1.369.tsv
2.1.1.46	4	MT_uniprot_EC_2.1.1.46.tsv
2.1.1.49	4	MT_uniprot_EC_2.1.1.49.tsv
2.1.1.59	4	MT_uniprot_EC_2.1.1.59.tsv
2.1.1.60	4	MT_uniprot_EC_2.1.1.60.tsv
2.1.1.67	4	MT_uniprot_EC_2.1.1.67.tsv
2.1.1.69	4	MT_uniprot_EC_2.1.1.69.tsv
2.1.1.9	4	MT_uniprot_EC_2.1.1.9.tsv
2.1.1.96	4	MT_uniprot_EC_2.1.1.96.tsv
2.1.1.109	3	MT_uniprot_EC_2.1.1.109.tsv
2.1.1.11	3	MT_uniprot_EC_2.1.1.11.tsv
2.1.1.112	3	MT_uniprot_EC_2.1.1.112.tsv
2.1.1.116	3	MT_uniprot_EC_2.1.1.116.tsv
2.1.1.143	3	MT_uniprot_EC_2.1.1.143.tsv
2.1.1.155	3	MT_uniprot_EC_2.1.1.155.tsv
2.1.1.157	3	MT_uniprot_EC_2.1.1.157.tsv
2.1.1.158	3	MT_uniprot_EC_2.1.1.158.tsv
2.1.1.175	3	MT_uniprot_EC_2.1.1.175.tsv
2.1.1.212	3	MT_uniprot_EC_2.1.1.212.tsv
