# O_MT 
2.1.1.176	16S rRNA (cytosine(967)-C(5))-methyltransferase	OK
2.1.1.178	16S rRNA (cytosine(1407)-C(5))-methyltransferase	OK
2.1.1.189	23S rRNA (uracil(747)-C(5))-methyltransferase	OK
2.1.1.190	23S rRNA (uracil(1939)-C(5))-methyltransferase	OK
2.1.1.191	23S rRNA (cytosine(1962)-C(5))-methyltransferase	OK
2.1.1.192	23S rRNA (adenine(2503)-C(2))-methyltransferase	OK
2.1.1.195	cobalt-precorrin-5B (C(1))-methyltransferase	OK
2.1.1.196	cobalt-precorrin-6B (C(15))-methyltransferase [decarboxylating]	OK
2.1.1.202	multisite-specific tRNA:(cytosine-C(5))-methyltransferase	OK
2.1.1.203	tRNA (cytosine(34)-C(5))-methyltransferase	OK
2.1.1.204	tRNA (cytosine(38)-C(5))-methyltransferase	OK
2.1.1.224	23S rRNA (adenine(2503)-C(8))-methyltransferase	OK
2.1.1.255	geranyl diphosphate 2-C-methyltransferase	OK
2.1.1.263	botryococcene C-methyltransferase	OK
2.1.1.281	phenylpyruvate C(3)-methyltransferase	OK
2.1.1.284	8-demethylnovobiocic acid C(8)-methyltransferase	OK
2.1.1.289	cobalt-precorrin-7 (C(5))-methyltransferase	OK
2.1.1.304	L-tyrosine C(3)-methyltransferase	OK
2.1.1.310	25S rRNA (cytosine(2870)-C(5))-methyltransferase	OK
2.1.1.311	25S rRNA (cytosine(2278)-C(5))-methyltransferase	OK
2.1.1.317	sphingolipid C(9)-methyltransferase	OK
2.1.1.350	menaquinone C(8)-methyltransferase	OK

# S_MT 
ec	name	status
2.1.1.377	[methyl-Co(III) glycine betaine-specific corrinoid protein]--coenzyme M	OK
2.1.1.253	[methyl-Co(III) tetramethylammonium-specific corrinoid protein]:coenzyme	OK
2.1.1.247	[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M	OK
2.1.1.246	[methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M	OK
2.1.1.377	methyltransferase	OK
2.1.1.247	methyltransferase	OK
2.1.1.246	methyltransferase	OK
2.1.1.13	methionine synthase	OK
2.1.1.3	thetin--homocysteine S-methyltransferase	OK
2.1.1.5	betaine--homocysteine S-methyltransferase	OK
2.1.1.9	thiol S-methyltransferase	OK
2.1.1.10	homocysteine S-methyltransferase	OK
2.1.1.12	methionine S-methyltransferase	OK
2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	OK
2.1.1.63	methylated-DNA--[protein]-cysteine S-methyltransferase	OK
2.1.1.67	thiopurine S-methyltransferase	OK
2.1.1.96	thioether S-methyltransferase	OK
2.1.1.123	[cytochrome c]-methionine S-methyltransferase	OK
2.1.1.251	methylated-thiol--coenzyme M methyltransferase	OK
2.1.1.318	[trehalose-6-phosphate synthase]-L-cysteine S-methyltransferase	OK
2.1.1.334	methanethiol S-methyltransferase	OK
2.1.1.373	2-hydroxy-4-(methylsulfanyl)butanoate S-methyltransferase	OK

# OTHER 
ec	name	status
2.1.1.326	N-acetyl-demethylphosphinothricin P-methyltransferase	OK
2.1.1.280	selenocysteine Se-methyltransferase	OK
2.1.1.265	tellurite methyltransferase	OK
2.1.1.137	arsenite methyltransferase	OK
2.1.1.90	methanol--corrinoid protein Co-methyltransferase	OK
2.1.1.165	methyl halide transferase	OK
2.1.1.248	[methylamine--corrinoid protein] Co-methyltransferase	OK
2.1.1.249	[dimethylamine--corrinoid protein] Co-methyltransferase	OK
2.1.1.250	[trimethylamine--corrinoid protein] Co-methyltransferase	OK
2.1.1.252	tetramethylammonium--corrinoid protein Co-methyltransferase	OK
2.1.1.376	glycine betaine--corrinoid protein Co-methyltransferase	OK
2.1.1.382	methoxylated aromatic compound--corrinoid protein Co-methyltransferase	OK
2.1.1.383	L-carnitine--corrinoid protein Co-methyltransferase	OK
2.1.1.388	proline betaine--corrinoid protein Co-methyltransferase	OK

# TRANSFERRED 
ec	name	status
2.1.1.23	Transferred entry: 2.1.1.319, 2.1.1.320, 2.1.1.321 and 2.1.1.322	TRANSFERRED
2.1.1.24	Transferred entry: 2.1.1.77, 2.1.1.80 and 2.1.1.100	TRANSFERRED
2.1.1.29	Transferred entry: 2.1.1.202, 2.1.1.203 and 2.1.1.204	TRANSFERRED
2.1.1.31	Transferred entry: 2.1.1.221 and 2.1.1.228	TRANSFERRED
2.1.1.32	Transferred entry: 2.1.1.213, 2.1.1.214, 2.1.1.215 and 2.1.1.216	TRANSFERRED
2.1.1.36	Transferred entry: 2.1.1.217, 2.1.1.218, 2.1.1.219 and 2.1.1.220	TRANSFERRED
2.1.1.43	Transferred entry: 2.1.1.354	TRANSFERRED
2.1.1.48	Transferred entry: 2.1.1.181, 2.1.1.182, 2.1.1.183 and 2.1.1.184	TRANSFERRED
2.1.1.51	Transferred entry: 2.1.1.187 and 2.1.1.188	TRANSFERRED
2.1.1.52	Transferred entry: 2.1.1.171, 2.1.1.172, 2.1.1.173 and 2.1.1.174	TRANSFERRED
2.1.1.58	Transferred entry: 2.1.1.57	TRANSFERRED
2.1.1.66	Transferred entry: 2.1.1.230	TRANSFERRED
2.1.1.73	Transferred entry: 2.1.1.37	TRANSFERRED
2.1.1.81	Transferred entry: 2.1.1.49	TRANSFERRED
2.1.1.86	Transferred entry: 7.2.1.4	TRANSFERRED
2.1.1.92	Transferred entry: 2.1.1.69	TRANSFERRED
2.1.1.93	Transferred entry: 2.1.1.70	TRANSFERRED
2.1.1.124	Transferred entry: 2.1.1.319, 2.1.1.320, 2.1.1.321 and 2.1.1.322	TRANSFERRED
2.1.1.125	Transferred entry: 2.1.1.319, 2.1.1.320, 2.1.1.321 and 2.1.1.322	TRANSFERRED
2.1.1.126	Transferred entry: 2.1.1.319, 2.1.1.320, 2.1.1.321 and 2.1.1.322	TRANSFERRED
2.1.1.134	Transferred entry: 2.1.1.129	TRANSFERRED
2.1.1.135	Transferred entry: 1.16.1.8	TRANSFERRED
2.1.1.149	Transferred entry: 2.1.1.267	TRANSFERRED

# DELETED 
ec	name	status
2.1.1.30	Deleted entry	DELETED
2.1.1.138	Deleted entry	DELETED
2.1.1.194	Deleted entry	DELETED
2.1.1.358	Deleted entry	DELETED
